osm_id	name	bench	btst	bus	departures_board	description	highway	layer	level	local_ref	mvv:zone	name:bar	name:etymology:wikidata	name:official	network	network:guid	network:short	network:wikidata	network:wikipedia	note	official_name	old_name	operator	public_transport	public_transport:version	rail	railway	railway:position	railway:ref	ref	ref:IFOPT	ref_name	shelter	short_name	source	subway	train	tram	uic_name	uic_ref	wheelchair	wheelchair:description	wheelchair:tram	wikidata	wikipedia	geometry
398761	Maxmonument	NA	NA	NA	NA	Maxmonument, Stop Tram 19/N19 Richtung Pasing	NA	NA	NA	NA	NA	NA	NA	NA	MVV	NA	NA	NA	NA	NA	NA	NA	MVG	stop_position	NA	NA	stop	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	c(11.5878234, 48.1376614)
11218960	Hackerbrücke	NA	NA	NA	NA	Hackerbrücke, Gleis 2, S1/S2/S3/S4/S6/S7/S8 Ri.Laim/Pasing	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DB Station&Service AG	stop_position	NA	NA	stop	NA	MHAB	2	NA	NA	NA	NA	NA	NA	yes	NA	NA	8004129	yes	NA	NA	NA	NA	c(11.5485943, 48.1420273)
13568152	Westkreuz	NA	NA	NA	NA	Westkreuz, Gleis 1	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DB Netz AG	stop_position	NA	NA	stop	NA	MWKR	1	NA	NA	NA	NA	NA	NA	yes	NA	NA	8004163	yes	NA	NA	NA	NA	c(11.4437954, 48.1490102)
13568161	Planegg	NA	NA	NA	NA	Planegg, Gleis 1 Richtung Tutzing	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DB Netz AG	stop_position	NA	NA	stop	NA	MPL	1	NA	NA	NA	NA	NA	NA	yes	NA	NA	8004827	NA	NA	NA	NA	NA	c(11.4135925, 48.1055203)
13803176	Leienfelsstraße	NA	NA	NA	NA	Leienfelsstraße, Gleis 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	München Leienfelsstraße	NA	DB Netz AG	stop_position	NA	NA	stop	NA	MLEF	2	NA	NA	NA	NA	NA	NA	yes	NA	NA	8004133	NA	NA	NA	NA	NA	c(11.4284736, 48.1545246)
13803177	Aubing	NA	NA	NA	NA	Aubing, Gleis 1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	München-Aubing	NA	DB Netz AG	stop_position	NA	NA	stop	NA	MMAU	1	NA	NA	NA	NA	NA	NA	yes	NA	NA	8004141	no	NA	NA	NA	NA	c(11.4132984, 48.1559132)
14342545	Fasanerie	NA	NA	NA	NA	Fasanerie, Gleis 1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DB Netz AG	stop_position	NA	NA	stop	NA	MFAS	1	NA	NA	NA	NA	NA	NA	yes	NA	NA	8004145	yes	NA	NA	NA	NA	c(11.5258677, 48.1978025)
14342547	Moosach	NA	NA	NA	NA	Moosach, Gleis 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	München-Moosach	NA	DB Netz AG	stop_position	NA	NA	stop	NA	MMCH	4	NA	NA	NA	NA	NA	NA	yes	NA	NA	8004155	NA	NA	NA	NA	NA	c(11.5059623, 48.1800697)
14342561	Feldmoching	NA	NA	NA	NA	Feldmoching, Gleis 1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	München-Feldmoching	NA	DB Netz AG	stop_position	NA	NA	stop	NA	MFE	1	NA	NA	NA	NA	NA	NA	yes	NA	NA	8004147	NA	NA	NA	NA	NA	c(11.5411352, 48.2135945)
16797073	Allach	NA	NA	NA	NA	Allach, Gleis 2	NA	NA	NA	2	NA	NA	NA	NA	MVV	NA	NA	NA	NA	NA	München-Allach	NA	DB Netz AG	stop_position	NA	NA	stop	10.4	MMAL	2	NA	NA	NA	NA	NA	NA	yes	NA	München-Allach	8004140	yes	NA	NA	NA	NA	c(11.4680674, 48.1900297)
